CellIDRec	Injection	CultivationSol	DaysPostInj	Rating	Voltage_1	Voltage_2	Voltage_3	Voltage_4	Voltage_5	Voltage_6	Voltage_7	Voltage_8	CurMinus85	MeanSTEPs_1	MeanSTEPs_2	MeanSTEPs_3	MeanSTEPs_4	MeanSTEPs_5	MeanSTEPs_6	MeanSTEPs_7	MeanSTEPs_8	LEAKMinus85	TestSol
STFX036010	mg419mg012	L-15(300Amil)	2	3	-0.0999790974529347	-0.0799329318936876	-0.0599212347729789	-0.0398627837763012	-0.0197834648394241	0.000292185769656699	0.0203102159468438	0.0403308762458472	7.25507941419142e-06	8.19606519933557e-06	6.38922342192698e-06	4.96970168881504e-06	3.12859911406424e-06	1.00214562569214e-06	9.00072674418605e-07	2.02425941306756e-06	2.46336863233667e-06	-2.64799015057756e-05	NaGluBefore
STFX036010	mg419mg012	L-15(300Amil)	2	3	-0.10003713316722	-0.0799676771871538	-0.0599277062569214	-0.0398455495570321	-0.0197682378183831	0.000305301771871538	0.0202547411406423	0.0401506782945736	2.14624587458746e-06	2.48825096899225e-06	1.21726190476196e-06	5.29017857142805e-07	4.39662929125105e-07	1.62586517165005e-06	2.74330357142857e-06	3.11105343300113e-06	2.92748131229237e-06	-2.64799015057756e-05	NaGlu(0.01EIPA)
STFX036010	mg419mg012	L-15(300Amil)	2	3	-0.100070321151716	-0.0799919712070874	-0.059921615448505	-0.0398459302325581	-0.0197732558139535	0.00029422757475083	0.0201777062569214	0.0400607350498339	-3.4812164810231e-06	4.24717954042083e-06	5.05625346068659e-06	4.05216985049835e-06	3.16401924141749e-06	2.70137735326688e-06	2.44078765227021e-06	2.15069559800665e-06	1.81336517165008e-06	-2.64799015057756e-05	NaGlu(0.03EIPA)
STFX036010	mg419mg012	L-15(300Amil)	2	3	-0.100084371539313	-0.0799837693798449	-0.0599147978959026	-0.0398418466223699	-0.0197695874861572	0.000298830287929124	0.0202934662236988	0.0400954803433001	-7.66424298679808e-08	1.2795888704316e-07	8.89794435215919e-07	1.17384759136215e-06	1.54495431893687e-06	2.12654000553709e-06	2.57454318936877e-06	2.65524640088594e-06	2.31447259136214e-06	-2.64799015057756e-05	NaGlu(0.1EIPA)
STFX036010	mg419mg012	L-15(300Amil)	2	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.64799015057756e-05	NaGlu(0.3EIPA)
STFX036010	mg419mg012	L-15(300Amil)	2	3	-0.10006388427464	-0.0799951896456256	-0.059921684662237	-0.0398380744739756	-0.01978107696567	0.000295127353266887	0.020265953765227	0.0398250622923588	-5.74160091790429e-06	7.67358803986714e-06	5.85499723145068e-06	4.0514604097453e-06	2.81656630675522e-06	2.2407772702104e-06	2.12332156699889e-06	1.9156284606866e-06	1.49100221483943e-06	-2.64799015057756e-05	NaGlu(1EIPA)
STFX036010	mg419mg012	L-15(300Amil)	2	3	-0.100075477574751	-0.0800046719269103	-0.0599235880398671	-0.0398430232558139	-0.0197803848283499	0.000293639258028792	0.0202765088593577	0.0399005052602436	-9.85622937293729e-06	1.30294677464009e-05	9.59916597452933e-06	6.31154831118499e-06	3.93563122923586e-06	2.5188953488372e-06	1.75134966777409e-06	1.30298311184939e-06	7.73671096345568e-07	-2.64799015057756e-05	NaGlu(3EIPA)
STFX036010	mg419mg012	L-15(300Amil)	2	3	-0.100077450166113	-0.0800056063122923	-0.0599293673864895	-0.0398528516057585	-0.0197724252491694	0.000300837486157253	0.0203180370985603	0.0398152685492802	-1.26933271452145e-05	1.60035299003322e-05	1.21496746954595e-05	8.31076965669988e-06	5.02136973975635e-06	2.57876522702104e-06	9.66292912513843e-07	2.47439091915809e-08	6.15171650055343e-07	-2.64799015057756e-05	NaGlu(10EIPA)
STFX036010	mg419mg012	L-15(300Amil)	2	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.64799015057756e-05	NaGlu(30EIPA)
STFX036010	mg419mg012	L-15(300Amil)	2	3	-0.100067725636766	-0.080001142026578	-0.059937015503876	-0.0398588385935769	-0.0197862333887043	0.000299280177187153	0.0203636835548173	0.0397836378737542	-1.64072942450495e-05	1.98289382613511e-05	1.56838143687708e-05	1.12406042358804e-05	6.99811392580289e-06	3.22918397009966e-06	1.09738372093023e-07	2.35845791805094e-06	4.22094753599112e-06	-2.64799015057756e-05	NaGlu(100EIPA)
STFX036010	mg419mg012	L-15(300Amil)	2	3	-0.100064853266888	-0.080001522702104	-0.059937257751938	-0.0398564507198228	-0.01978159606866	0.000299176356589146	0.0203726467331118	0.0401036129568106	-1.62067798576733e-05	1.96928294573644e-05	1.55070598006644e-05	1.1187171234773e-05	6.98716085271317e-06	3.13654138981174e-06	1.6078349944629e-07	2.87361572535991e-06	4.93215323920264e-06	-2.64799015057756e-05	NaGlu(300EIPA)
STFX036010	mg419mg012	L-15(300Amil)	2	3	-0.10006526854928	-0.0799797203765226	-0.0599261835548173	-0.0398525401439645	-0.019781353820598	0.000298553433001107	0.0203628875968992	0.0403028100775194	-0	0	0	0	0	0	0	0	0	-2.64799015057756e-05	NaGluAfter
